[40888:14728:0518/195649.334:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[40888:36196:0518/195649.394:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[40888:14728:0518/195649.420:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[7192:33028:0518/195653.648:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-B0E3840270CB79D6FB01190CE4CE9CF0 will be ignored
[19976:392:0518/202702.869:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 7-C25309A2FEC711D36458163E4A31A182 will be ignored
[52520:52656:0518/202847.913:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(103,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_vec4_float4_int)

[52520:19928:0518/202848.062:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(136,1): warning X4000: use of potentially uninitialized variable (f_i_int_int_int2)
C:\fakepath(138,1): warning X4000: use of potentially uninitialized variable (f_i_int_int_int2)
C:\fakepath(174,1): warning X4000: use of potentially uninitialized variable (f_u_int_int_int)

[52520:52956:0518/202848.594:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(166,1): warning X4000: use of potentially uninitialized variable (f_renderMipMapLevel_int)

[52520:41396:0518/202912.246:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.265:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.282:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.297:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.315:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.332:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.347:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.362:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.383:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.397:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.414:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.432:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.446:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.463:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.482:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.497:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.513:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.530:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.548:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.562:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.579:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.596:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.612:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #894).
[52520:41396:0518/202912.649:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #895).
[52520:41396:0518/202912.664:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #895).
[52520:41396:0518/202912.679:VERBOSE1:video_capture_oracle.cc(165)] Content sampler now detects animation.
[52520:41396:0518/202912.679:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #895).
[52520:41396:0518/202912.697:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #895).
[52520:41396:0518/202912.713:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #895).
[52520:41396:0518/202912.747:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202912.762:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
